"En inode er en metadatastruktur for å holde orden på...<br>indeksen til interrupt-tabellen.<br>datablokkene til en fil.<br>indeksen til systemkall-tabellen.<br>pakkene i datakommunikasjonssystemet. 5. minnet brukt for å indeksere åpne filer.", "datablokkene til en fil."
"Funksjonen fork() ...<br>lager en ny prosess som er en kopi av prosessen som gjorde funksjonskallet.<br>forgreiner eksekveringen i et program og eksekverer hver grein en etter en.<br>eksekverer et helt nytt program angitt av paremeteren som gir navnet på en ny programfil.<br>tillater et program å dele minne med en annen prosess angitt av parameteren som gir pid’en til den andre prosessen.<br>oppretter flere køer i en scheduler.", "lager en ny prosess som er en kopi av prosessen som gjorde funksjonskallet."
"Hva er et kontekstbytte (""context switch"")?", "En konteks-switch er operasjonen med å bytte fra en kjørende prosess (A) til en annen (B)"
"I forbindelse med organisering av minnet til en prosess er en heap området som brukes til å lagre ...<br>datainstruksjoner.<br>dynamisk allokert minne.<br>operativsystemets kjernevariable.<br>programmets globale variable.<br>brukerprogrammets funksjonspekere. 6. de forskjellige trådenes egene stakker.", "dynamisk allokert minne."
"Absolutt adressering er en måte å ...<br>adressere diskblokkene på disken direkte ved å angi et blokknummer.<br>adressere diskblokkene på disken gjennom pekere.<br>adressere minnet direkte ved å gi en hardware adresse.<br>adressere minnet relativt til en posisjon i programmet.<br>gi datakommunikasjonssystemet i operativsystemet en IP adresse uten a bruke oversettel- sesfunksjoner.", "adressere minnet direkte ved å gi en hardware adresse."
"Hva er en postboks (“mailbox”)?<br>et primitiv for å samle diskforespørsler.<br>en mekanisme for å gruppere alle prosesser med samme prioritet.<br>en mekanisme for å kommunisere mellom prosesser på maskinen.<br>et buffer for å holde en funksjons parametere mens riktig systemkall lokaliseres i systemkall- tabellen.<br>et signal for å si i fra til en prosess at en ekstern hendelse har oppstått.", "en mekanisme for å kommunisere mellom prosesser på maskinen."
"Er en stakk FIFO?", "ja"
"Hva er en sidefeil (""page fault"")?", "En sidefeil en hendelse (interrupt sendt av hardware) som oppstår når et<br>program prøver å aksessere en side i minnet som er mappet inn i adresserommet,<br>men som ikke er lokalisert i det fysiske minnen (men da på disken)."
"Hva er et operativsystem?", "mellomlag mellom HW og brukeren."
"Er en stakk LIFO?", "Nei"
"Hva er en “mikro-kjerne” (micro kernel)?<br>en operativsystemkjerne med alle funksjoner linket inn i et enkelt objekt.<br>en liten funksjon som tar seg av prosessoren.<br>en operativsystemkjerne med minimal funksjonalitet hvor det meste av tjenestene implementeres som (brukerområde) tjenere.<br>et minimalt kjernelag som tar hånd om systemkallene på toppen av alle andre tjenester som operativsystemet tilbyr.<br>en operativsystemkjerne for å kjøre på mikro-enheter (som mobiltelefoner).", "en operativsystemkjerne med minimal funksjonalitet hvor det meste av tjenestene implementeres som (brukerområde) tjenere."
"Hva er et unntak (“exception”)?<br>en tilstand for prosesser.<br>en måte å avbryte den kjørende prosessen på grunn av en synkron hendelse når en forhåndsdefinert hendelse oppstår (f.eks. systemkall).<br>en måte å avbryte den kjørende prosessen på grunn av en asynkron hendelse når en forhåndsdefinert hendelse oppstår (f.eks. ferdig diskoperasjon).<br>en regel i scheduleren for å kunne gjøre unntak for å prioritere viktigere prosesser.<br>en operasjon filsystemet kan gjøre for å ungå å skifte ut et element fra buffercachen.", "en måte å avbryte den kjørende prosessen på grunn av en synkron hendelse når en forhåndsdefinert hendelse oppstår (f.eks. systemkall)."
"Hva er en inode?", "En inode er en blokk av fast størrelse i et unix-filsystem som inneholder metadata om en fil"
"Funksjonen execve ...<br>eksekverer et program i kjernens adresserom.<br>lager en ny prosess som er en eksakt kopi av prosessen som gjorde funksjonskallet.<br>eksekverer et helt nytt program angitt av parameteren som gir navnet på en ny programfil.<br>tillater et program å dele minne med en annen prosess angitt av parameteren som gir pid’en til den andre prosessen.<br>oppretter flere køer i en scheduler.", "eksekverer et helt nytt program angitt av parameteren som gir navnet på en ny programfil."
"Hva er et operativsystems oppgaver?", "Det gir et grensesnitt for brukeren til maskinen."
"Avbrytbar (“preemptive”) schedulering er en mekanisme som ...<br>kan avbryte den kjørende prosessen hvis høyere prioritets prosesser venter i schedulerings- køen.<br>kan avbryte den kjørende prosessen hvis lavere prioritets prosesser venter i schedulerings- køen.<br>passer på at den kjørende prosessen kan kjøre ferdig uansett prioritet. passer på at alle prosesser får like lang tid på prosessoren.<br>er ment for å schedulere prosesser på heterogene multi-prosessorer.<br>er ment å skille mellom prosessorer i kjernen og i brukerområdet.", "kan avbryte den kjørende prosessen hvis høyere prioritets prosesser venter i schedulerings- køen."
"Diskscheduleringsalgoritmen korteste søk først (“shortest seek-time first”) ...<br>søker til nærmeste blokk med hensyn til korteste rotasjonsforsinkelse.<br>er rettferdig med tanke på responstid.<br>gir mer søking enn SCAN algoritmen.<br>garanterer best mulig gjenbruk av diskdata i minnet.<br>søker til nærmeste neste forespurte datablokk med hensyn til distanse (i antall sylindere å flytte disk hodet).<br>gir mer søking enn FCFS algoritmen.", "søker til nærmeste neste forespurte datablokk med hensyn til distanse (i antall sylindere å flytte disk hodet)."
"Hva er et systemkall?", "Et vanlig funksjonskall som kaller tjenester i OS-kjernen."
"Hva er en stakk?", "En stakk er i denne konteksten et kontinuerlig minneområde<br>som brukes til å lagre variabler, parametre og registerverdier"
